"","param","mean","sd","lower","upper"
"1","(Intercept)",-3.62051963806152,0.0650591477751732,-3.74914829314587,-3.49330161545797
"2","sexM",0.00498277833685279,0.0179462824016809,-0.0302619203610214,0.0401765935205021
"3","age_category(-1,5]",1.54305648803711,0.0303300395607948,1.48340640574549,1.60245826280233
"4","age_category(5,16]",-0.165299355983734,0.0408097803592682,-0.24597230036354,-0.0857425461452132
"5","age_category(50,65]",0.656367182731628,0.025880254805088,0.605539691328006,0.70711842178716
"6","age_category(65,85]",1.04453134536743,0.0251814760267735,0.995105513574803,1.09394309929301
"7","age_category(85,110]",1.41841185092926,0.0400913842022419,1.33937233562047,1.49675852845255
"8","increased_compensationYes",0.28909707069397,0.0230254791676998,0.243780306127156,0.334164026537256
