"","param","mean","sd","lower","upper"
"1","(Intercept)",0.0268246820454513,0.00173492140193879,0.0234587796087421,0.0302697059239549
"2","sexM",1.00515433642647,0.0179323147629559,0.970063346462966,1.04045502466848
"3","age_category(-1,5]",4.68098987580499,0.141142250293489,4.40550065159333,4.95938909876219
"4","age_category(5,16]",0.848336177371321,0.0344074906519133,0.781239778642878,0.916251634324222
"5","age_category(50,65]",1.92841220072642,0.0496166697017897,1.83150446951857,2.02623248018401
"6","age_category(65,85]",2.84295338984001,0.0711737554314426,2.70394565916219,2.98327755649336
"7","age_category(85,110]",4.13382934194407,0.164747010991565,3.81280281251872,4.45917360147218
"8","increased_compensationYes",1.33556978849431,0.0305689997236452,1.27578303764688,1.39577318721358
