"","param","mean","sd","lower","upper"
"1",1,-0.0225267919230717,0.100479099151618,-0.226455114370119,0.175291790875039
"2",2,-0.00752053634829107,0.0701583498411139,-0.14756127794205,0.130158285891316
"3",3,0.028694225009248,0.101747152338779,-0.174012046330245,0.23254578680622
"4",4,-0.0852995493947243,0.129447786461843,-0.352454528949302,0.161069043643654
"5",5,0.0177444562032999,0.114584997578022,-0.210890416314864,0.246222901036919
"6",6,0.0230195367368158,0.107939492386908,-0.192328697484145,0.237619614320518
"7",7,0.0680611038655724,0.0982721439817585,-0.124433868110706,0.265834215945435
"8",8,-0.01004360591836,0.105596024222428,-0.222427956215877,0.19837248611533
"9",9,0.266572828323803,0.255319063636634,-0.214271953157249,0.786465250511023
"10",10,-0.0578313104316034,0.124319082474421,-0.312802138099829,0.182658520413727
"11",11,-0.00877630538393012,0.115775118272338,-0.243125487074553,0.21948621124771
"12",12,0.218627600767845,0.180150123434197,-0.116970480368726,0.584766666130357
"13",13,0.0747626939932094,0.121359626752137,-0.161856654808751,0.320321493082873
"14",14,-0.00238402741796999,0.0974776130823295,-0.197484264289596,0.19060818744314
"15",15,0.0554738191447128,0.100076657764988,-0.140680125219046,0.256236579089678
"16",16,0.00586437326084066,0.110058665528195,-0.214821253483017,0.224517503321321
"17",17,-0.0774896289053692,0.113332414916134,-0.311333671746663,0.137791826876457
"18",18,0.0886297223319562,0.0964172390377195,-0.0970155325824454,0.283743788313927
"19",19,-0.0358881404190635,0.0971536048106527,-0.234549041295928,0.152795036665236
"20",20,-0.0640093770077263,0.120758833386551,-0.312498836131472,0.168778091702452
"21",21,0.0310543950141016,0.104193191945656,-0.176585400336048,0.239069857522748
"22",22,0.0510200424290136,0.112959316254827,-0.171279208342462,0.279132815552724
"23",23,0.0618952756656769,0.152451584788186,-0.237649175878595,0.370035208684681
"24",24,-0.0195111889508911,0.122048144569346,-0.267742599429965,0.219373803424644
"25",25,-0.0241101153045644,0.107940117746125,-0.244427165481456,0.18532440256658
"26",26,0.114316699805904,0.128021411714974,-0.131191626517521,0.375074712578159
"27",27,0.104224937183561,0.11717620563986,-0.121845336855131,0.342723979215493
"28",28,0.0666558996540158,0.105150787005483,-0.140339561110103,0.278360675756314
"29",29,-0.039854880556651,0.131017886551422,-0.306152114706752,0.217351769928255
"30",30,0.118739073449346,0.115735765975155,-0.103511168972744,0.35422189563854
"31",31,0.00484956021663477,0.101141357238438,-0.198179649764358,0.203345391722343
"32",32,0.0285326123858009,0.0977991581958107,-0.16645130711348,0.223965635186747
"33",33,-0.0604782857616196,0.1067413038547,-0.279227878364811,0.146064104574778
"34",34,0.0363644927576776,0.106914248598764,-0.175019876334399,0.251508365005277
"35",35,0.0881516692343569,0.0818979595064028,-0.0707113893789632,0.252786212494864
"36",36,-0.000637504506690974,0.0909561442288034,-0.184750759624428,0.177399275021595
"37",37,-0.0372664300144862,0.0861636373429788,-0.211486152899832,0.129692256569267
"38",38,0.0729485981555391,0.0992530756068011,-0.121295432665752,0.273518600486508
"39",39,-0.00112588167185798,0.0960816122528988,-0.195393639630609,0.186954020920407
"40",40,0.0353399496820512,0.0908784617953769,-0.144143242175307,0.21715611131516
"41",41,-0.0842803037352383,0.118538616962887,-0.328898488567583,0.14006486804864
"42",42,-0.0859967645646859,0.102218169342876,-0.296804910994021,0.106701001621272
"43",43,0.203530818418305,0.143940825923292,-0.067681589330801,0.496421998271063
"44",44,0.170468930418729,0.150492424451832,-0.114601840322056,0.478884137578664
"45",45,0.171390196185415,0.110847174931975,-0.0400348876766647,0.393889106887284
"46",46,0.170327041430416,0.130056428898918,-0.0737341315715776,0.435466899302939
"47",47,0.263859969068902,0.149258343975,-0.0186060319265198,0.560672590512957
"48",48,0.197855850922808,0.0997037978237518,0.00904638653440626,0.395874617025143
"49",49,0.093999350546151,0.118072361542687,-0.136182627449297,0.333797014330222
"50",50,0.0965512852678061,0.0932263942623956,-0.0846577114301927,0.284270794836289
"51",51,0.0379968864494685,0.116414687210412,-0.195983583585229,0.26888596715802
"52",52,0.15051729523571,0.100344851031631,-0.0409494870921704,0.353130433711322
"53",53,0.119013023303381,0.130323283122487,-0.13237761723534,0.384879504933653
"54",54,0.046897154649352,0.120689796711415,-0.197594090969811,0.285297746480611
